scope,username,userid
1008,mvana,2647017
1011,tnguj,1382
10167,epudlo,1401
16689,ingamsdp,1331
16690,nbatl,1290
16691,ctrip,139292
16703,amoye,1379
42859,jcox,74539
42865,pgrew,156114
44310,sbins,42235
44347,mgeor,1314
45502,dscott,1421
45503,fyazb,1450
45505,Acrzh,1439
45509,sdaniela,350913
45513,cmcih,1337470
45515,wswaa,1437
45769,dkot0,67711
45834,smam1,713812
